Product,Firm Name & Address,OM No & Date,Expiry Date,Remarks,phonenumber,address_line1,address_line2,city,state,postal_code
66kV Compact Sub-Station,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV HT VCB Panels,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV HT Metering Cubicle with LBS,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV HT VCB Panel with VCB,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV RMU,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV HT Control & Relay Panel,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV HT Outdoor CT/PT Unit,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV & 33kV HT Indoor CT/PT Unit,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV Indoor VCB Panel,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV Control & Relay Panel,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
11kV HT Control & Relay Panel with VCB,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
AC Distribution Box (Single & Double Front),"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
DC Distribution Box,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
DTC LT Metering Box,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
LT Meter Boxes,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
Feeder Pillar 8-Way & 12-Way,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
GI Trunking Box,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
DTC Distribution Box,"M/s. Banashankry Power Systems Pvt. Ltd., #379/1, 10th Cross, 4th Phase, Peenya Industrial Area, Bengaluru–560058. Ph: 080-41726440",779:32 Dtd:15.05.2023,16.05.2025,02 Years,080-41726440,M/s. Banashankry Power Systems Pvt. Ltd,#379/1,Bengaluru-,,560058
M+3 Towers (33/11kV),"M/s. Vinayaka Fabrication, D/17, APIIC, IA, Gajuwaka, Visakhapatnam–530012. Ph:9000070201",778:90 Dtd:15.05.2023,16.05.2024,01 Year,9000070201,M/s. Vinayaka Fabrication,D/17,Visakhapatnam-,,530012
M+6 Towers (33/11kV),"M/s. Vinayaka Fabrication, D/17, APIIC, IA, Gajuwaka, Visakhapatnam–530012. Ph:9000070201",778:90 Dtd:15.05.2023,16.05.2024,01 Year,9000070201,M/s. Vinayaka Fabrication,D/17,Visakhapatnam-,,530012
M+9 Towers (33/11kV),"M/s. Vinayaka Fabrication, D/17, APIIC, IA, Gajuwaka, Visakhapatnam–530012. Ph:9000070201",778:90 Dtd:15.05.2023,16.05.2024,01 Year,9000070201,M/s. Vinayaka Fabrication,D/17,Visakhapatnam-,,530012
M+12 Towers (33/11kV),"M/s. Vinayaka Fabrication, D/17, APIIC, IA, Gajuwaka, Visakhapatnam–530012. Ph:9000070201",778:90 Dtd:15.05.2023,16.05.2024,01 Year,9000070201,M/s. Vinayaka Fabrication,D/17,Visakhapatnam-,,530012
M+3 Towers (33/11kV),"M/s. Samruddhi Enterprises Fabricators, Plot No. 86, Road No. 6, Dwaraka Nagar Colony, Dindepalli, Hyderabad–Telangana. Ph: 9949920555",779:94 Dtd:15.05.2023,16.05.2024,01 Year,9949920555,M/s. Samruddhi Enterprises Fabricators,Plot No. 86,Hyderabad-Telangana,,
M+6 Towers (33/11kV),"M/s. Samruddhi Enterprises Fabricators, Plot No. 86, Road No. 6, Dwaraka Nagar Colony, Dindepalli, Hyderabad–Telangana. Ph: 9949920555",779:94 Dtd:15.05.2023,16.05.2024,01 Year,9949920555,M/s. Samruddhi Enterprises Fabricators,Plot No. 86,Hyderabad-Telangana,,
M+9 Towers (33/11kV),"M/s. Samruddhi Enterprises Fabricators, Plot No. 86, Road No. 6, Dwaraka Nagar Colony, Dindepalli, Hyderabad–Telangana. Ph: 9949920555",779:94 Dtd:15.05.2023,16.05.2024,01 Year,9949920555,M/s. Samruddhi Enterprises Fabricators,Plot No. 86,Hyderabad-Telangana,,
"25kVA, 63kVA, 100kVA & 250kVA (EEL-1, Star-1 rated) Aluminium wound Distribution Transformer","M/s. VLS Industries, #15, Shakthi Kaveri Industrial Estate, Heggadadevanakote, Bangalore–560040. Ph: 9900512604",779:98 Dtd:15.05.2023,16.05.2025,02 Years,9900512604,M/s. VLS Industries,#15,Bangalore-,,560040
"25kVA, EEL-2, Star-2 rated Distribution Transformer","M/s. VLS Industries, #15, Shakthi Kaveri Industrial Estate, Heggadadevanakote, Bangalore–560040. Ph: 9900512604",779:98 Dtd:15.05.2023,16.05.2025,02 Years,9900512604,M/s. VLS Industries,#15,Bangalore-,,560040
CRGO Core Distribution Transformer,"M/s. VLS Industries, #15, Shakthi Kaveri Industrial Estate, Heggadadevanakote, Bangalore–560040. Ph: 9900512604",779:98 Dtd:15.05.2023,16.05.2025,02 Years,9900512604,M/s. VLS Industries,#15,Bangalore-,,560040
9 Mtrs PSCC Poles 300 kg W/L,"M/s. S.A. Sai Cement Concrete Products, S.A. Sai Nagar, Yemmiganur Road, Adoni, Kurnool District. Ph: 9949016848, 9944209371",779:89 Dtd:15.05.2023,16.05.2025,02 Years,9949016848 / 9944209371,M/s. S.A. Sai Cement Concrete Products,S.A. Sai Nagar,Kurnool District,,
9 Mtrs PSCC Poles 400 kg W/L,"M/s. S.A. Sai Cement Concrete Products, S.A. Sai Nagar, Yemmiganur Road, Adoni, Kurnool District. Ph: 9949016848, 9944209371",779:89 Dtd:15.05.2023,16.05.2025,02 Years,9949016848 / 9944209371,M/s. S.A. Sai Cement Concrete Products,S.A. Sai Nagar,Kurnool District,,
LT Protection Kit,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560,M/s. Hi-Power Transmissions,Malabar Market Unit 5,Bengaluru-.   /,,560903
"Earthing Pipe 40 mm Dia, 2.5 mtr long","M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560,M/s. Hi-Power Transmissions,Malabar Market Unit 5,Bengaluru-.   /,,560903
Cast Iron Earthing Strips,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560,M/s. Hi-Power Transmissions,Malabar Market Unit 5,Bengaluru-.   /,,560903
MS Foundation Clamps,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560,M/s. Hi-Power Transmissions,Malabar Market Unit 5,Bengaluru-.   /,,560903
Stay Rod Clamps,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560,M/s. Hi-Power Transmissions,Malabar Market Unit 5,Bengaluru-.   /,,560903
Suspension Clamps,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560,M/s. Hi-Power Transmissions,Malabar Market Unit 5,Bengaluru-.   /,,560903
PG Clamps,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560,M/s. Hi-Power Transmissions,Malabar Market Unit 5,Bengaluru-.   /,,560903
Eye Bolt & Clamps,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560,M/s. Hi-Power Transmissions,Malabar Market Unit 5,Bengaluru-.   /,,560903
Pole Clamps,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560,M/s. Hi-Power Transmissions,Malabar Market Unit 5,Bengaluru-.   /,,560903
GI Earthing Pipes,"M/s. Hi-Power Transmissions, Malabar Market Unit 5, 1st No.65, Chikkabanavara, Bengaluru-560903. Ph: 080-41248001 / Mobile: 99444977560",779:80:02 Dtd:15.05.2023,16.05.2025,02 Years,080-41248001 / 99444977560,M/s. Hi-Power Transmissions,Malabar Market Unit 5,Bengaluru-.   /,,560903
8 Mtr PSCC Poles 240 kg W/L,"M/s. Shakti Industries, Asundi, Galli Road, Atalavar Pragana, Sceded Colony, Old Hubli Village, Tq. Ranebennur Dist. Haveri. Ph: 9886834685",800:30:40 Dtd:15.05.2023,16.05.2025,02 Years,9886834685,M/s. Shakti Industries,Asundi,Tq. Ranebennur Dist. Haveri,,
9 Mtr PSCC Poles 200 kg W/L,"M/s. Shakti Industries, Asundi, Galli Road, Atalavar Pragana, Sceded Colony, Old Hubli Village, Tq. Ranebennur Dist. Haveri. Ph: 9886834685",800:30:40 Dtd:15.05.2023,16.05.2025,02 Years,9886834685,M/s. Shakti Industries,Asundi,Tq. Ranebennur Dist. Haveri,,
9 Mtr PSCC Poles 280 kg W/L,"M/s. Shakti Industries, Asundi, Galli Road, Atalavar Pragana, Sceded Colony, Old Hubli Village, Tq. Ranebennur Dist. Haveri. Ph: 9886834685",800:30:40 Dtd:15.05.2023,16.05.2025,02 Years,9886834685,M/s. Shakti Industries,Asundi,Tq. Ranebennur Dist. Haveri,,
9 Mtr RCC Poles 400 kg W/L,"M/s. Shakti Industries, Asundi, Galli Road, Atalavar Pragana, Sceded Colony, Old Hubli Village, Tq. Ranebennur Dist. Haveri. Ph: 9886834685",800:30:40 Dtd:15.05.2023,16.05.2025,02 Years,9886834685,M/s. Shakti Industries,Asundi,Tq. Ranebennur Dist. Haveri,,
9 Mtr RCC Poles 415 kg W/L,"M/s. Shakti Industries, Asundi, Galli Road, Atalavar Pragana, Sceded Colony, Old Hubli Village, Tq. Ranebennur Dist. Haveri. Ph: 9886834685",800:30:40 Dtd:15.05.2023,16.05.2025,02 Years,9886834685,M/s. Shakti Industries,Asundi,Tq. Ranebennur Dist. Haveri,,
Horizontal X Arm,"M/s. Shree Traders, Plot No: R-20, Industrial Estate, Hudali, Belagavi. Ph: 9900810698",8007:10 Dtd:15.05.2023,16.05.2025,02 Year,9900810698,M/s. Shree Traders,Plot No: R-20,Belagavi,,
PG Clamps,"M/s. Shree Traders, Plot No: R-20, Industrial Estate, Hudali, Belagavi. Ph: 9900810698",8007:10 Dtd:15.05.2023,16.05.2025,02 Year,9900810698,M/s. Shree Traders,Plot No: R-20,Belagavi,,
DP Set,"M/s. Shree Traders, Plot No: R-20, Industrial Estate, Hudali, Belagavi. Ph: 9900810698",8007:10 Dtd:15.05.2023,16.05.2025,02 Year,9900810698,M/s. Shree Traders,Plot No: R-20,Belagavi,,
TTC Set,"M/s. Shree Traders, Plot No: R-20, Industrial Estate, Hudali, Belagavi. Ph: 9900810698",8007:10 Dtd:15.05.2023,16.05.2025,02 Year,9900810698,M/s. Shree Traders,Plot No: R-20,Belagavi,,
24 Ft. X Arm,"M/s. Shree Traders, Plot No: R-20, Industrial Estate, Hudali, Belagavi. Ph: 9900810698",8007:10 Dtd:15.05.2023,16.05.2025,02 Year,9900810698,M/s. Shree Traders,Plot No: R-20,Belagavi,,
Guy Rod,"M/s. Shree Traders, Plot No: R-20, Industrial Estate, Hudali, Belagavi. Ph: 9900810698",8007:10 Dtd:15.05.2023,16.05.2025,02 Year,9900810698,M/s. Shree Traders,Plot No: R-20,Belagavi,,
11 kV SF6 Ring Main Unit,"M/s. Veeranjaneya Switchgear Pvt. Ltd., Ashram Apparao Peta, Nuzvid Road, Vijayawada – 521201. Ph: 040-27530088, 9393299866",8011:14 Dtd:15.05.2023,16.05.2025,02 Year,040-27530088 / 9393299866,M/s. Veeranjaneya Switchgear Pvt. Ltd,Ashram Apparao Peta,Vijayawada - ,,521201
11 kV VCB Panel,"M/s. Veeranjaneya Switchgear Pvt. Ltd., Ashram Apparao Peta, Nuzvid Road, Vijayawada – 521201. Ph: 040-27530088, 9393299866",8011:14 Dtd:15.05.2023,16.05.2025,02 Year,040-27530088 / 9393299866,M/s. Veeranjaneya Switchgear Pvt. Ltd,Ashram Apparao Peta,Vijayawada - ,,521201
"25kVA, 63kVA & 100kVA, 3-Phase, Non-Sealed type, Aluminium Wound, EEL-2 Star-2 rated (CRGO Core), ONAF Distribution Transformer","#195/1, 6th Cross, Teppam 1st Stage, Bengaluru – 560058. Ph: 9886766254",8015:14 Dtd:15.05.2023,16.05.2025,02 Year,9886766254,#195/1,6th Cross,Bengaluru - ,,560058
"63kVA, 100kVA, 3-Phase, Non-Sealed type Aluminium Wound, ONAF Distribution Transformer (CRGO Core)","#195/1, 6th Cross, Teppam 1st Stage, Bengaluru – 560058. Ph: 9886766254",8015:14 Dtd:15.05.2023,16.05.2025,02 Year,9886766254,#195/1,6th Cross,Bengaluru - ,,560058
Double Pole Structure,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970,M/s. OM Industries,Opp. Mauli Khandasari,Misablari,,
Pole Clamps,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970,M/s. OM Industries,Opp. Mauli Khandasari,Misablari,,
DP Set,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970,M/s. OM Industries,Opp. Mauli Khandasari,Misablari,,
Top Support,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970,M/s. OM Industries,Opp. Mauli Khandasari,Misablari,,
11 kV DP Set,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970,M/s. OM Industries,Opp. Mauli Khandasari,Misablari,,
Cross Arm,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970,M/s. OM Industries,Opp. Mauli Khandasari,Misablari,,
Anchor Rod,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970,M/s. OM Industries,Opp. Mauli Khandasari,Misablari,,
Turn Buckle,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970,M/s. OM Industries,Opp. Mauli Khandasari,Misablari,,
Eye Bolt,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970,M/s. OM Industries,Opp. Mauli Khandasari,Misablari,,
Universal Hook with Bolt & Nuts,"M/s. OM Industries, Opp. Mauli Khandasari, Ankalgi Road, Tondeli, Khanapur, Belagavi Road, Misablari. Ph: 9901971970",8015:19 Dtd:15.05.2023,16.05.2025,02 Year,9901971970,M/s. OM Industries,Opp. Mauli Khandasari,Misablari,,
9 Mtrs RCC Poles 115 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533,M/s. Peacock Industries,Sy. No. 8/1,Bengaluru-.   /,,560091
9 Mtrs RCC Poles 145 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533,M/s. Peacock Industries,Sy. No. 8/1,Bengaluru-.   /,,560091
8 Mtrs PSCC Poles 200 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533,M/s. Peacock Industries,Sy. No. 8/1,Bengaluru-.   /,,560091
8 Mtrs PSCC Poles 200 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533,M/s. Peacock Industries,Sy. No. 8/1,Bengaluru-.   /,,560091
9 Mtrs PSCC Poles 260 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533,M/s. Peacock Industries,Sy. No. 8/1,Bengaluru-.   /,,560091
9 Mtrs PSCC Poles 300 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533,M/s. Peacock Industries,Sy. No. 8/1,Bengaluru-.   /,,560091
8 Mtrs PSCC Poles 306 Kg W/L,"M/s. Peacock Industries, Sy. No. 8/1, Hegganahalli, Rajiv Gandhi Industrial Area, Vishwaneedam Post, Hegganahalli (P), Bengaluru–560 091. Ph: 9449043969 / 9886406533",8011:22 Dtd:15.05.2023,16.05.2025,02 Year,9449043969 / 9886406533,M/s. Peacock Industries,Sy. No. 8/1,Bengaluru-.   /,,560091
28 Mtr PSC Poles 410 Kg W/L,"M/s. Manuri Industries, Plot No. B/21, Udyog Bahadur Industrial Area, Shahabad Road, Kalaburagi–585360. Ph: 9845416593",8020:22 Dtd:15.05.2023,16.05.2025,02 Year,9845416593,M/s. Manuri Industries,Plot No. B/21,Kalaburagi-,,585360
9 Mtr RCC Poles 206 Kg W/L,"M/s. Manuri Industries, Plot No. B/21, Udyog Bahadur Industrial Area, Shahabad Road, Kalaburagi–585360. Ph: 9845416593",8020:22 Dtd:15.05.2023,16.05.2025,02 Year,9845416593,M/s. Manuri Industries,Plot No. B/21,Kalaburagi-,,585360
9 Mtr RCC Poles 260 Kg W/L,"M/s. Manuri Industries, Plot No. B/21, Udyog Bahadur Industrial Area, Shahabad Road, Kalaburagi–585360. Ph: 9845416593",8020:22 Dtd:15.05.2023,16.05.2025,02 Year,9845416593,M/s. Manuri Industries,Plot No. B/21,Kalaburagi-,,585360
9 Mtr RCC Poles 306 Kg W/L,"M/s. Manuri Industries, Plot No. B/21, Udyog Bahadur Industrial Area, Shahabad Road, Kalaburagi–585360. Ph: 9845416593",8020:22 Dtd:15.05.2023,16.05.2025,02 Year,9845416593,M/s. Manuri Industries,Plot No. B/21,Kalaburagi-,,585360
9 Mtr RCC Poles 385 Kg W/L,"M/s. Manuri Industries, Plot No. B/21, Udyog Bahadur Industrial Area, Shahabad Road, Kalaburagi–585360. Ph: 9845416593",8020:22 Dtd:15.05.2023,16.05.2025,02 Year,9845416593,M/s. Manuri Industries,Plot No. B/21,Kalaburagi-,,585360
11 kV Class 2 Cx4mm² PVC Insulated (Type ST) Armoured Cable with Aluminium conductor class 1 cable core AM/VV,"M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,,M/s. Saini Insulated Cable Co,C/o Artiant Cables,Delhi-110095,,560053
Ashirvad Cable brand.,"M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,,M/s. Saini Insulated Cable Co,C/o Artiant Cables,Delhi-110095,,560053
11 kV Class 3.5C x 400 mm² XLPE Insulated and sheathed (Type ST,"M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,,M/s. Saini Insulated Cable Co,C/o Artiant Cables,Delhi-110095,,560053
Armoured Cable with Aluminium conductor class 2 cable core AM/VV,"M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,,M/s. Saini Insulated Cable Co,C/o Artiant Cables,Delhi-110095,,560053
Ashirvad Cable brand.,"M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,,M/s. Saini Insulated Cable Co,C/o Artiant Cables,Delhi-110095,,560053
"11 kV Class 4C x 185 mm² XLPE Insulated, Sheathed (ST","M/s. Saini Insulated Cable Co., C/o Artiant Cables, No. 6, A.M. Lane, Chickpet, Bangalore–560053. Factory: M/s. Spring Weltex Cables, B-24, Industrial Area, Shahdara, Delhi–110095.",8027:30 Dtd:15.05.2023,16.05.2025,02 Year,,M/s. Saini Insulated Cable Co,C/o Artiant Cables,Delhi-110095,,560053
