Product,Firm Name & Address,OM No & Date,Expiry Date,Remarks,phonenumber
9 Mtr RCC poles 300kg. W/L,"M/s. Ganga Green Products Pvt. Ltd., No. 3 K.I.A.D.B Industrial Area, IInd Stage, Plot No. C1, Opp. Shankaraiah Pujari, Tumkur. Ph: 9945411217",53907/10 dtd: 31.01.2024,30.01.2026,02 Years,9945411217
Rabbit ACSR Conductor,"M/s. Rehab Industries, Plot No. 150, Tahal Industries Estate Opp. MBA College, Tahal. Ph: 9148865774 / 9632518666",53333/36 dtd: 31.01.2024,30.01.2026,02 Years,9148865774 / 9632518666
Weasel ACSR Conductor,"M/s. Rehab Industries, Plot No. 150, Tahal Industries Estate Opp. MBA College, Tahal. Ph: 9148865774 / 9632518666",53333/36 dtd: 31.01.2024,30.01.2026,02 Years,9148865774 / 9632518666
Coyote ACSR Conductor,"M/s. Rehab Industries, Plot No. 150, Tahal Industries Estate Opp. MBA College, Tahal. Ph: 9148865774 / 9632518666",53333/36 dtd: 31.01.2024,30.01.2026,02 Years,9148865774 / 9632518666
PSC/CC Mvr Pole 9.0Mtr 280Kg W.L,"M/s Sri Dana Sri Cement Concrete Products, S.R. No. 13, Basapur (V), A-545/Mudal, Jewargi Tq, Kalaburagi-585302. Mobiles: 9900186884, 9440294701",53330-06 dtd: 31.01.2024,30.01.2026,02 Years,9900186884 / 9440294701
PSC/CC Mvr Pole 9.0Mtr 300Kg W.L,"M/s Sri Dana Sri Cement Concrete Products, S.R. No. 13, Basapur (V), A-545/Mudal, Jewargi Tq, Kalaburagi-585302. Mobiles: 9900186884, 9440294701",53330-06 dtd: 31.01.2024,30.01.2026,02 Years,9900186884 / 9440294701
PSC/CC 11 Mtr Pole 280Kg W.L,"M/s Sri Dana Sri Cement Concrete Products, S.R. No. 13, Basapur (V), A-545/Mudal, Jewargi Tq, Kalaburagi-585302. Mobiles: 9900186884, 9440294701",53330-06 dtd: 31.01.2024,30.01.2026,02 Years,9900186884 / 9440294701
RCC/CC Mvr Pole - 145Kg W.L,"M/s Sri Dana Sri Cement Concrete Products, S.R. No. 13, Basapur (V), A-545/Mudal, Jewargi Tq, Kalaburagi-585302. Mobiles: 9900186884, 9440294701",53330-06 dtd: 31.01.2024,30.01.2026,02 Years,9900186884 / 9440294701
RCC/CC Mvr Pole - 300Kg W.L,"M/s Sri Dana Sri Cement Concrete Products, S.R. No. 13, Basapur (V), A-545/Mudal, Jewargi Tq, Kalaburagi-585302. Mobiles: 9900186884, 9440294701",53330-06 dtd: 31.01.2024,30.01.2026,02 Years,9900186884 / 9440294701
PSC/CC Mvr Pole 9.0Mtr 280Kg W.L,"M/s Samrudhi Industries, Plot No. 227 KIADB Nandur (K) Industrial area Sedam Road Kalaburagi. Mobiles: 9844726666",53332-56 dtd: 31.01.2024,30.01.2026,02 Years,9844726666
PSC/CC Mvr Pole 9.0Mtr 300Kg W.L,"M/s Samrudhi Industries, Plot No. 227 KIADB Nandur (K) Industrial area Sedam Road Kalaburagi. Mobiles: 9844726666",53332-56 dtd: 31.01.2024,30.01.2026,02 Years,9844726666
PSC/CC 11 Mtr Pole 280Kg W.L,"M/s Samrudhi Industries, Plot No. 227 KIADB Nandur (K) Industrial area Sedam Road Kalaburagi. Mobiles: 9844726666",53332-56 dtd: 31.01.2024,30.01.2026,02 Years,9844726666
RCC/CC Mvr Pole - 145Kg W.L,"M/s Samrudhi Industries, Plot No. 227 KIADB Nandur (K) Industrial area Sedam Road Kalaburagi. Mobiles: 9844726666",53332-56 dtd: 31.01.2024,30.01.2026,02 Years,9844726666
RCC/CC Mvr Pole - 300Kg W.L,"M/s Samrudhi Industries, Plot No. 227 KIADB Nandur (K) Industrial area Sedam Road Kalaburagi. Mobiles: 9844726666",53332-56 dtd: 31.01.2024,30.01.2026,02 Years,9844726666
RCC/CC Mvr Pole - 400Kg W.L,"M/s Samrudhi Industries, Plot No. 227 KIADB Nandur (K) Industrial area Sedam Road Kalaburagi. Mobiles: 9844726666",53332-56 dtd: 31.01.2024,30.01.2026,02 Years,9844726666
HV DP's,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
5/7.2/9.4 Double Pole CTC's,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
LT CTC's,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
"Cross Arms (V type, Top Hamper)","M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
Pin Insulators,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
Shackle Insulators,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
Top Hamper,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
Pole Clamps,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
11kV DP's,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
11kV GI Pins,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
DOLO CTC 3.5kV GI Pins,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
Aluminum Clamps,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
33kV V type Cross Arms,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
33kV GI Pins,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
33kV DP's,"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
Guy Sets (Single Cross Arm),"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
11kV/33kV DP's (Single Cross Arm),"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
11kV/20kV DP's (Single Cross Arm),"M/s. A.H. Kusugal, Momin Plot, Koul Peth, Hubli-28. Ph: 9341410786 / 9845653009",129727/75 Dtd: 12.06.2024,11.06.2026,02 Years,9341410786 / 9845653009
HV DP's,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474
TSC's with Complete Clamps,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474
LT TSC's with Clamps,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474
LT Pin Insulators,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474
Shackle Insulators,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474
V type Cross Arms,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474
33kV V type Cross Arms,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474
33kV DP CTC's,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474
33kV GI Pins,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474
Pole Clamps,"M/s. Hi-Tech Engineering Works (R), Plot No. 8-15/66C, SSN Nilaya, Near Balangule, Shahabad. Mobile: 7896057474",5004346 Dtd: 13.02.2024,29.02.2024,02 Years,7896057474
ACSR Rabbit Conductor,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
ACSR Weasel Conductor,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
"25 KVA, 3-Ph. Distribution Transformer","M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
25 KVA BEE-2 Star Distribution Transformer,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
"100 KVA, 3-Ph. Distribution Transformer","M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
HT & LT Stay Set,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
9 Mtr. PSC Pole,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
Double Pole Structure,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
HT Pole Bracket with COS,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
HT Pole Bracket Unit,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
Guy Set (Disc Insulator),"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
Guy Set (Pin Insulator),"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
Pole Clamps,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
LT 2 Pin Cross Arm,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
9 Mtr. X-arm Support,"M/s. Anand Transmission Products Pvt. Ltd., K.I.A.D.B. Industrial Area, Plot No-56 & A3, Vijayapur. Ph: 9902534167",J2998-81 Dtd: 12.06.2022,11.06.2026,02 Years,9902534167
LT 4 Pin Cross Arm with set,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
LT 2 Pin Cross Arm with set,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
LT Special 1 Pin Cross Arm with set,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
"11 kV, Y Type Cross Arm with set","Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
Pole clamp,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
33 kV Double Pole Structure with set,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
33 kV pole TC set,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
Double Pole Structure with set,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
33 kV V Cross Arm with set,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
11 kV Double Pole Structure with set,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
HT Support,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
Guy Set (Disc Insulator),"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
HT Pole Clamps,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
ECG Strips,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
Spiral earth Electrode,"Amarpurna Engineers, 8-113-21, KEB Road Opp: Forest Office Bada Bazar, Bidar. Ph: 9986121555",G375373 Dtd: 16.03.2022,15.03.2026,02 Years,9986121555
RCC MV Poles 11-KV W/L,"M/s. Basaveshwara Concrete Products, Plot No.19, KIADB Industrial Area, Chittapur Road, Bidar. Ph: 9945880777",12912-15 Dtd: 12.06.2024,11.06.2026,02 Years,9945880777
RCC MV Poles 15-KV W/L,"M/s. Basaveshwara Concrete Products, Plot No.19, KIADB Industrial Area, Chittapur Road, Bidar. Ph: 9945880777",12912-15 Dtd: 12.06.2024,11.06.2026,02 Years,9945880777
RCC MV Poles 8.0 Mtr. 400 Kg. W/L,"M/s. Basaveshwara Concrete Products, Plot No.19, KIADB Industrial Area, Chittapur Road, Bidar. Ph: 9945880777",12912-15 Dtd: 12.06.2024,11.06.2026,02 Years,9945880777
RCC MV Poles 9.0 Mtr. 400 Kg. W/L,"M/s. Basaveshwara Concrete Products, Plot No.19, KIADB Industrial Area, Chittapur Road, Bidar. Ph: 9945880777",12912-15 Dtd: 12.06.2024,11.06.2026,02 Years,9945880777
PSCC MV Poles 8.0 Mtr. 200 Kg. W/L,"M/s. Basaveshwara Concrete Products, Plot No.19, KIADB Industrial Area, Chittapur Road, Bidar. Ph: 9945880777",12912-15 Dtd: 12.06.2024,11.06.2026,02 Years,9945880777
PSCC MV Poles 9.0 Mtr. 200 Kg. W/L,"M/s. Basaveshwara Concrete Products, Plot No.19, KIADB Industrial Area, Chittapur Road, Bidar. Ph: 9945880777",12912-15 Dtd: 12.06.2024,11.06.2026,02 Years,9945880777
PSCC MV Poles 300 Kg. W/L,"M/s. Basaveshwara Concrete Products, Plot No.19, KIADB Industrial Area, Chittapur Road, Bidar. Ph: 9945880777",12912-15 Dtd: 12.06.2024,11.06.2026,02 Years,9945880777
"25kVA, 63kVA, 100kVA and 250kVA, EEI-2, 5 star rated CRGO type, Distribution Transformer","M/s. R.M.G. Transformers, #184/6, Sy. No. 184/6, Hirehalli Village, IB Post, Sira Tq., Tumkur Dist. Ph: 080-29721070, 9448252130, 9880890294",12976-78 Dtd: 12.06.2024,11.06.2026,02 Years,080-29721070 / 9448252130 / 9880890294
"25kVA, 63kVA and 100kVA, EEI-2, 4 star rated CRGO type, Distribution Transformer","M/s. R.M.G. Transformers, #184/6, Sy. No. 184/6, Hirehalli Village, IB Post, Sira Tq., Tumkur Dist. Ph: 080-29721070, 9448252130, 9880890294",12976-78 Dtd: 12.06.2024,11.06.2026,02 Years,080-29721070 / 9448252130 / 9880890294
"25kVA, 63kVA and 100kVA, 4 star rated CRGO type, Distribution Transformer EEI-2","M/s. J.M. Electrical Works, Heggundi Road, Heggundi and S.No. 29/1B, 29/2C, Huvinahadagali Tq., Ballary District. Ph: 9902911212",12904-07 Dtd: 12.06.2024,11.06.2026,02 Years,9902911212
"25kVA, 63kVA and 100kVA, 5 star rated CRGO type, Distribution Transformer EEI-2","M/s. J.M. Electrical Works, Heggundi Road, Heggundi and S.No. 29/1B, 29/2C, Huvinahadagali Tq., Ballary District. Ph: 9902911212",12904-07 Dtd: 12.06.2024,11.06.2026,02 Years,9902911212
11kV 200A Tilting type AB Switches,"M/s Sri Tulsi Switchgears Pvt. Ltd., F-138, IP, Phase-I, IDA Jeedimetla, Hyderabad, Telangana. Ph: 8008323484",81313-44 Dt: 17.05.2024,16.05.2026,02 Years,8008323484
11kV 400A Double break AB Switches,"M/s Sri Tulsi Switchgears Pvt. Ltd., F-138, IP, Phase-I, IDA Jeedimetla, Hyderabad, Telangana. Ph: 8008323484",81313-44 Dt: 17.05.2024,16.05.2026,02 Years,8008323484
33kV AB Switches,"M/s Sri Tulsi Switchgears Pvt. Ltd., F-138, IP, Phase-I, IDA Jeedimetla, Hyderabad, Telangana. Ph: 8008323484",81313-44 Dt: 17.05.2024,16.05.2026,02 Years,8008323484
11kV & 33kV Polymeric Insulators,"M/s Sri Tulsi Switchgears Pvt. Ltd., F-138, IP, Phase-I, IDA Jeedimetla, Hyderabad, Telangana. Ph: 8008323484",81313-44 Dt: 17.05.2024,16.05.2026,02 Years,8008323484
11kV & 33kV HDGI Guy Insulations,"M/s Sri Tulsi Switchgears Pvt. Ltd., F-138, IP, Phase-I, IDA Jeedimetla, Hyderabad, Telangana. Ph: 8008323484",81313-44 Dt: 17.05.2024,16.05.2026,02 Years,8008323484
11kV & 33kV GI Fittings,"M/s Sri Tulsi Switchgears Pvt. Ltd., F-138, IP, Phase-I, IDA Jeedimetla, Hyderabad, Telangana. Ph: 8008323484",81313-44 Dt: 17.05.2024,16.05.2026,02 Years,8008323484
LT Pin cross arms with GI pinned parts,"M/s Sri Tulsi Switchgears Pvt. Ltd., F-138, IP, Phase-I, IDA Jeedimetla, Hyderabad, Telangana. Ph: 8008323484",81313-44 Dt: 17.05.2024,16.05.2026,02 Years,8008323484
11kV V Cross arms with GI Pin & Metal parts,"M/s Sri Tulsi Switchgears Pvt. Ltd., F-138, IP, Phase-I, IDA Jeedimetla, Hyderabad, Telangana. Ph: 8008323484",81313-44 Dt: 17.05.2024,16.05.2026,02 Years,8008323484
11kV Horizontal V Cross arms with GI Pin & Metal parts,"M/s Sri Tulsi Switchgears Pvt. Ltd., F-138, IP, Phase-I, IDA Jeedimetla, Hyderabad, Telangana. Ph: 8008323484",81313-44 Dt: 17.05.2024,16.05.2026,02 Years,8008323484
11kV Horizontal V Base Clamps,"M/s Sri Tulsi Switchgears Pvt. Ltd., F-138, IP, Phase-I, IDA Jeedimetla, Hyderabad, Telangana. Ph: 8008323484",81313-44 Dt: 17.05.2024,16.05.2026,02 Years,8008323484
"25kVA, 63kVA, 100kVA & 250kVA, BIS certified, 4 star rated Aluminium wound CRGO core Distribution Transformers","M/s Kailash Transformers Pvt. Ltd., #23, KIADB Industrial Area, Chikbargi. Ph: 9844252549",12922-23 Dt: 12.06.2024,11.06.2026,02 Years,9844252549
"25kVA, 63kVA, 100kVA & 250kVA, BIS certified, 4 star rated, Aluminium wound CRGO core Distribution Transformers","M/s Kiran Electricals Pvt. Ltd., 179, Road No.3, Kathwada GIDC Industrial Estate, Naroda Ahmedabad pin:382345 Ph: 9824022084",129767-39 Dt: 12.06.2024,11.06.2026,02 Years,9824022084
415/630kVA LT Panel (Non-Extendable),"M/s Kiran Electricals Pvt. Ltd., 179, Road No.3, Kathwada GIDC Industrial Estate, Naroda Ahmedabad pin:382345 Ph: 9824022084",129767-39 Dt: 12.06.2024,11.06.2026,02 Years,9824022084
LT Feeder Pillar Box,"M/s Kiran Electricals Pvt. Ltd., 179, Road No.3, Kathwada GIDC Industrial Estate, Naroda Ahmedabad pin:382345 Ph: 9824022084",129767-39 Dt: 12.06.2024,11.06.2026,02 Years,9824022084
DTC Box,"M/s Kiran Electricals Pvt. Ltd., 179, Road No.3, Kathwada GIDC Industrial Estate, Naroda Ahmedabad pin:382345 Ph: 9824022084",129767-39 Dt: 12.06.2024,11.06.2026,02 Years,9824022084
PSC Pole 9 Mtr 200 Kg W/L,"M/s. Navabharath Construction Co. Pvt. Ltd., Plot No. 5, 2nd Floor, 1st Main Road, Vasanth Nagar, Bangalore-560052",5334-42 Dtd: 31.01.2024,30.01.2026,02 Years,
PSC Pole 9 Mtr 300 Kg W/L,"M/s. Navabharath Construction Co. Pvt. Ltd., Plot No. 5, 2nd Floor, 1st Main Road, Vasanth Nagar, Bangalore-560052",5334-42 Dtd: 31.01.2024,30.01.2026,02 Years,
RCC Pole 9 Mtr 200 Kg W/L,"M/s. Navabharath Construction Co. Pvt. Ltd., Plot No. 5, 2nd Floor, 1st Main Road, Vasanth Nagar, Bangalore-560052",5334-42 Dtd: 31.01.2024,30.01.2026,02 Years,
RCC Pole 9 Mtr 300 Kg W/L,"M/s. Navabharath Construction Co. Pvt. Ltd., Plot No. 5, 2nd Floor, 1st Main Road, Vasanth Nagar, Bangalore-560052",5334-42 Dtd: 31.01.2024,30.01.2026,02 Years,
RCC Pole 9 Mtr 415 Kg W/L,"M/s. Navabharath Construction Co. Pvt. Ltd., Plot No. 5, 2nd Floor, 1st Main Road, Vasanth Nagar, Bangalore-560052",5334-42 Dtd: 31.01.2024,30.01.2026,02 Years,
RCC Pole 9 Mtr 535 Kg W/L,"M/s. Navabharath Construction Co. Pvt. Ltd., Plot No. 5, 2nd Floor, 1st Main Road, Vasanth Nagar, Bangalore-560052",5334-42 Dtd: 31.01.2024,30.01.2026,02 Years,
11kV VCB Panel (Indoor & Outdoor),"M/s. Vedant Switchgears, No.150, 10th Main Road, 3rd Phase, Peenya Industrial Area, Peenya, Bangalore-560058. Prop: Smt. P.S. Vedavathi Ph: 9845040596",5334-50 Dtd: 31.01.2024,30.01.2026,02 Years,9845040596
11kV Load Break Switch,"M/s. Vedant Switchgears, No.150, 10th Main Road, 3rd Phase, Peenya Industrial Area, Peenya, Bangalore-560058. Prop: Smt. P.S. Vedavathi Ph: 9845040596",5334-50 Dtd: 31.01.2024,30.01.2026,02 Years,9845040596
11kV Potential Transformer,"M/s. Vedant Switchgears, No.150, 10th Main Road, 3rd Phase, Peenya Industrial Area, Peenya, Bangalore-560058. Prop: Smt. P.S. Vedavathi Ph: 9845040596",5334-50 Dtd: 31.01.2024,30.01.2026,02 Years,9845040596
11kV VCB Panel (Indoor & Outdoor),"M/s. Vedant Switchgears, No.150, 10th Main Road, 3rd Phase, Peenya Industrial Area, Peenya, Bangalore-560058. Prop: Smt. P.S. Vedavathi Ph: 9845040596",5334-52 Dtd: 31.01.2024,30.01.2026,02 Years,9845040596
11kV Load Break Switch,"M/s. Vedant Switchgears, No.150, 10th Main Road, 3rd Phase, Peenya Industrial Area, Peenya, Bangalore-560058. Prop: Smt. P.S. Vedavathi Ph: 9845040596",5334-52 Dtd: 31.01.2024,30.01.2026,02 Years,9845040596
11kV Potential Transformer,"M/s. Vedant Switchgears, No.150, 10th Main Road, 3rd Phase, Peenya Industrial Area, Peenya, Bangalore-560058. Prop: Smt. P.S. Vedavathi Ph: 9845040596",5334-52 Dtd: 31.01.2024,30.01.2026,02 Years,9845040596
33kV VCB Panel (Indoor & Outdoor),"M/s. Vedant Switchgears, No.150, 10th Main Road, 3rd Phase, Peenya Industrial Area, Peenya, Bangalore-560058. Prop: Smt. P.S. Vedavathi Ph: 9845040596",5334-52 Dtd: 31.01.2024,30.01.2026,02 Years,9845040596
33kV Load Break Switch,"M/s. Vedant Switchgears, No.150, 10th Main Road, 3rd Phase, Peenya Industrial Area, Peenya, Bangalore-560058. Prop: Smt. P.S. Vedavathi Ph: 9845040596",5334-52 Dtd: 31.01.2024,30.01.2026,02 Years,9845040596
33kV Potential Transformer,"M/s. Vedant Switchgears, No.150, 10th Main Road, 3rd Phase, Peenya Industrial Area, Peenya, Bangalore-560058. Prop: Smt. P.S. Vedavathi Ph: 9845040596",5334-52 Dtd: 31.01.2024,30.01.2026,02 Years,9845040596
33kV CT/PT Units,"M/s. Vedant Switchgears, No.150, 10th Main Road, 3rd Phase, Peenya Industrial Area, Peenya, Bangalore-560058. Prop: Smt. P.S. Vedavathi Ph: 9845040596",5334-52 Dtd: 31.01.2024,30.01.2026,02 Years,9845040596
